Key;English;Dutch;German;French;Spanish;Italian;Russian;Chinese Simplified;Japanese;Korean
measurement;Measurement;Meeting;Messung;Mesure;Medición;Misurazione;Измерение;测量;測定;측량
setup;Setup;Opties;Einrichtung;Coup monté;Arreglo;Apparecchio;Настройка;设置;セットアップ;설치
theme;Theme;Thema;Thema;Thème;Tema;Tema;Тема;主题;テーマ;주제
accent_color;Colors;Kleuren;Farben;Couleurs;Colores;Colori;Знамя;颜色;色;색상
time;Time;Tijd;Zeit;Heure;Hora;Ore;Время;时间;時間;시간
date;Date;Datum;Datum;Date;Fecha;Dattero;Дата;日期;日付;날짜
alarm;Alarm;Alarm;Alarm;Alarme;Alarma;Allarme;Тревога;报警;警報;경보기
settings;Settings;Instellingen;Einstellungen;Paramètres;Configuración;Impostazioni;Параметры;设置;設定;설정
language;Language;Taal;Sprache;Langue;Idioma;Lingua;Язык;语言;言語;언어
brightness;Brightness;Helderheid;Helligkeit;Luminosité;Brillo;Luminosità;Яркость;亮度;明るさ;밝기
units;Units;Eenheden;Einheiten;Unités;Unidades;Unità;Единиц;单位;単位;단위
intern_temp;Internal temp:;Interne temp.:;Interne Temperatur:;Température interne:;Temperatura interna:;Temperatura interna:;Внутренняя температура:;内部温度：;内部温度:;내부 온도:
keyboard;Keyboard;Toetsenbord;Tastatur;Clavier;Teclado;Tastiera;Клавиатура;键盘;キーボード;키보드
info;Info;Info;Info;Info;Información;Informazioni;Информация;信息;情報;정보
