Key;English;Dutch;German;French;Spanish;Italian;Russian;Chinese Simplified;Japanese;Korean
measurement;Measurement;Meeting;Messung;Mesure;Medición;Misurazione;Измерение;测量;測定;측량
setup;Setup;Opties;Einrichtung;Coup monté;Arreglo;Apparecchio;Настройка;设置;セットアップ;설치
alarm;Alarm!!!;Alarm!!!;Alarm!!!;Alarme!!!;Alarma!!!;Allarme!!!;Тревога!!!;报警!!!;警報!!!;경보기!!!
set_alarm_in;Set alarm in:;Alarm in:;Alarm setzen:;Réglez l'alarme en :;Configurar alarma en:;Imposta la sveglia in:;Установите будильник в:;在以下位置设置闹钟：;アラームの設定:;알람 설정:
activate_alarm;Activate alarm?;Alarm activeren?;Alarm aktivieren?;Activer l'alarme?;¿Activar la alarma?;Attivare l'allarme?;Активировать сигнализацию?;激活警报？;アラームを作動させますか?;알람을 활성화하시겠습니까?
intern_temp;Internal temp:;Interne temp.:;Interne Temperatur:;Température interne:;Temperatura interna:;Temperatura interna:;Внутренняя температура:;内部温度：;内部温度:;내부 온도:
colors;Colors;Kleuren;Farben;Couleurs;Colores;Colori;Знамя;颜色;色;색상
accent_color;Accent color;Accent kleur;Farbe der Akzente;Couleur d'accent;Color de acento;Colore d'accento;Акцентный цвет;强调色;アクセントカラー;강조 색상
cursor_color;Cursor color;Cursor kleur;Farbe des Cursors;Couleur du curseur;Color del cursor;Colore del cursore;Цвет курсора;光标颜色;カーソルの色;커서 색상
theme;Theme;Thema;Thema;Thème;Tema;Tema;Тема;主题;テーマ;주제
theme_light;Light;Licht;Licht;Lumière;Luz;Leggero;Свет;光;光;광
theme_dark;Dark;Donker;Dunkel;Sombre;Oscuro;Oscuro;Темный;黑暗;暗い;어둠
time;Time;Tijd;Zeit;Heure;Hora;Ore;Время;时间;時間;시간
date;Date;Datum;Datum;Date;Fecha;Dattero;Дата;日期;日付;날짜
settings;Settings;Instellingen;Einstellungen;Paramètres;Configuración;Impostazioni;Параметры;设置;設定;설정
language;Language;Taal;Sprache;Langue;Idioma;Lingua;Язык;语言;言語;언어
brightness;Brightness;Helderheid;Helligkeit;Luminosité;Brillo;Luminosità;Яркость;亮度;明るさ;밝기
intern_temp;Internal temp:;Interne temp.:;Interne Temperatur:;Température interne:;Temperatura interna:;Temperatura interna:;Внутренняя температура:;内部温度：;内部温度:;내부 온도:
keyboard;Keyboard;Toetsenbord;Tastatur;Clavier;Teclado;Tastiera;Клавиатура;键盘;キーボード;키보드
info;Info;Info;Info;Info;Información;Informazioni;Информация;信息;情報;정보
main_menu;Main menu;Hoofdmenu;Hauptmenü;Menu principal;Menú principal;Menu principale;Главное меню;主菜单;メインメニュー;메인 메뉴
